user_id,image_no,desktop_rating,gender,qualification,mobile_rating,age
u15,8,7,1,1,7,17
u16,8,3,1,1,1,15
u17,8,6,1,1,7,15
u18,8,6,1,1,2,15
u19,8,2,1,1,6,15
u20,8,4,1,1,6,16
u21,8,4,1,1,6,16
u22,8,8,0,1,4,15
u23,8,3,0,1,2,15
u24,8,5,0,1,3,16
u25,8,7,0,1,7,11
u26,8,8,0,1,8,16
u27,8,8,0,1,9,20
u28,8,9,1,1,9,18
u29,8,8,0,1,9,20
u30,8,8,0,1,6,20
u31,8,6,0,1,8,20
u32,8,5,0,1,5,18
u33,8,4,1,1,6,18
u34,8,5,1,1,6,15
u35,8,5,0,1,6,13
u36,8,4,0,1,8,8
u37,8,7,0,1,6,10
u38,8,7,0,1,6,10
u39,8,6,0,1,5,6
u40,8,7,1,2,10,60
u41,8,8,1,2,9,53
u42,8,10,1,0,6,55
u43,8,5,1,0,5,44
u44,8,9,1,2,7,47
u45,8,10,1,2,9,48
u46,8,5,0,2,7,48
u47,8,3,1,0,2,48
u48,8,9,0,2,8,38
u49,8,7,1,0,7,35
u50,8,9,1,1,7,32
u51,8,7,1,1,8,30
u52,8,7,1,0,7,26
u53,8,8,1,1,6,24
u54,8,9,0,1,5,24
u55,8,9,0,1,7,27
u56,8,9,1,1,7,27
u57,8,8,1,1,5,24
u58,8,7,1,1,8,22
u59,8,5,0,2,3,29
u60,8,7,0,1,6,23
u61,8,5,0,1,5,21
u62,8,4,0,1,3,22
u63,8,4,0,1,5,22
u64,8,5,0,1,4,21
u65,8,3,0,1,2,22
u66,8,2,0,1,1,24
u67,8,8,0,1,9,25
u68,8,5,0,1,6,21
u69,8,7,0,1,5,29
u70,8,7,0,1,10,22
u71,8,8,0,1,8,21
u72,8,2,1,1,8,22
u73,8,8,1,1,9,23
u74,8,8,1,1,1,16
u75,8,5,1,1,8,23
u76,8,5,0,1,7,23
u77,8,1,1,1,6,19
u78,8,4,1,1,6,17
u79,8,3,1,1,4,16
u80,8,2,1,1,2,18
